acceso_id,pagina_actual,frecuencia_uso,tiempo_desde_ultimo_acceso,reemplazo
0,2,1,800,0
1,12,1,969,1
2,45,1,923,1
3,22,1,402,0
4,19,1,361,0
5,32,1,446,0
6,5,1,446,0
7,8,1,936,0
8,41,1,906,0
9,38,1,679,0
10,41,2,350,1
11,12,2,257,1
12,9,1,238,0
13,7,1,54,1
14,4,1,570,0
15,27,1,604,0
16,8,2,4,0
17,6,1,173,0
18,8,3,67,1
19,25,1,962,1
20,12,3,403,0
21,21,1,945,1
22,8,4,580,0
23,34,1,486,0
24,45,2,826,1
25,25,2,560,0
26,23,1,177,0
27,18,1,912,1
28,28,1,547,1
29,23,2,23,1
30,5,2,517,1
31,23,3,435,0
32,13,1,439,1
33,2,2,304,1
34,26,1,465,0
35,49,1,446,0
36,19,2,329,0
37,41,3,945,0
38,43,1,569,1
39,29,1,580,0
40,26,2,636,0
41,1,1,391,0
42,10,1,180,0
43,23,4,428,0
44,17,1,365,1
45,30,1,329,1
46,11,1,27,0
47,24,1,245,0
48,26,3,630,1
49,23,5,657,0
50,21,2,823,0
51,46,1,136,0
52,1,2,789,0
53,19,3,2,1
54,2,3,225,1
55,39,1,751,0
56,35,1,830,0
57,21,3,705,1
58,29,2,17,1
59,37,1,123,0
60,37,2,694,1
61,2,4,513,0
62,49,2,822,1
63,22,2,121,0
64,41,4,206,1
65,2,5,772,1
66,11,2,878,0
67,14,1,105,1
68,36,1,366,1
69,46,2,306,1
70,23,6,826,1
71,49,3,278,0
72,38,2,546,1
73,31,1,554,1
74,30,2,574,1
75,7,2,735,0
76,10,2,977,1
77,14,2,997,0
78,1,3,860,0
79,8,5,503,1
80,30,3,261,0
81,0,1,660,1
82,49,4,337,1
83,9,2,201,1
84,6,2,818,0
85,8,6,633,1
86,40,1,830,0
87,47,1,970,0
88,49,5,892,0
89,37,3,263,1
90,23,7,89,1
91,49,6,781,0
92,16,1,975,1
93,3,1,998,0
94,12,4,37,0
95,45,3,630,0
96,28,2,849,1
97,21,4,158,0
98,15,1,1,1
99,27,2,433,1
100,35,2,668,1
101,8,7,721,1
102,41,5,510,0
103,38,3,972,1
104,49,7,648,0
105,30,4,228,1
106,11,3,173,1
107,46,3,271,0
108,8,8,452,0
109,42,1,42,0
110,42,2,347,1
111,6,3,1,1
112,29,3,373,0
113,41,6,932,0
114,1,4,277,1
115,26,4,448,0
116,11,4,828,0
117,8,9,463,0
118,14,3,367,1
119,3,2,359,1
120,49,8,426,0
121,21,5,550,0
122,30,5,836,1
123,37,4,424,0
124,9,3,436,1
125,23,8,181,0
126,30,6,820,1
127,47,2,227,0
128,8,10,726,0
129,26,5,844,1
130,13,2,243,1
131,13,3,647,1
132,49,9,219,1
133,32,2,830,0
134,30,7,94,1
135,2,6,822,1
136,9,4,443,1
137,35,3,12,1
138,32,3,531,0
139,33,1,403,1
140,1,5,171,0
141,3,3,683,1
142,47,3,53,0
143,10,3,656,0
144,46,4,279,1
145,48,1,43,0
146,42,3,83,1
147,49,10,779,1
148,6,4,185,0
149,22,3,279,1
150,35,4,905,1
151,23,9,100,1
152,0,2,335,1
153,19,4,380,1
154,35,5,618,0
155,36,2,169,0
156,26,6,788,1
157,37,5,771,0
158,36,3,702,0
159,18,2,528,0
160,3,4,169,0
161,7,3,518,0
162,46,5,337,0
163,14,4,797,1
164,45,4,220,0
165,4,2,324,1
166,42,4,55,0
167,1,6,522,0
168,0,3,868,0
169,19,5,40,0
170,6,5,319,0
171,9,5,627,0
172,15,2,437,0
173,39,2,426,0
174,19,6,606,0
175,31,2,106,1
176,48,2,590,1
177,24,2,940,0
178,20,1,675,0
179,13,4,804,1
180,10,4,676,1
181,32,4,800,1
182,15,3,848,1
183,7,4,979,0
184,8,11,191,0
185,37,6,781,0
186,7,5,698,0
187,36,4,11,0
